model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-4B,8,1,4,label_residualized,0.25369697899344984,0.708970098949118,0.06895909499824956,44.84881858548645,86.04579672345857,65.44730765447251,1
Qwen/Qwen3.5-4B,8,1,5,raw,0.2932444143729077,0.6684980290743261,0.3736297818289609,48.048752454396386,68.0603497194007,58.05455108689854,1
Qwen/Qwen3.5-4B,8,1,5,label_residualized,0.3153848765843037,0.6854700851639807,0.40112406498973924,46.72741209580488,66.35153196601271,56.5394720309088,1
Qwen/Qwen3.5-4B,8,1,6,raw,0.1415608442499568,0.4505636467504186,0.2830443229016925,63.22014730773212,73.55801624248777,68.38908177510994,0
Qwen/Qwen3.5-4B,8,1,6,label_residualized,0.2407459653271647,0.6126636622155907,0.32578392786463545,52.21764671050427,70.9869242215129,61.60228546600858,1
Qwen/Qwen3.5-4B,8,1,7,raw,0.09872116106469529,0.4196153787307725,0.14616858780880718,65.18969287401416,81.59504462536394,73.39236874968904,0
Qwen/Qwen3.5-4B,8,1,7,label_residualized,0.11444691807826836,0.4021080734548723,0.25923528582920136,66.2899693587143,74.97530844086518,70.63263889978974,0
Qwen/Qwen3.5-4B,8,1,8,raw,0.4398870302197306,0.9121333571171609,0.21860191964765305,24.198149219581303,77.37306972218835,50.78560947088482,1
Qwen/Qwen3.5-4B,8,1,8,label_residualized,0.4392772785792453,0.9052083749162332,0.24321257192012666,25.1486377073985,75.92377314183689,50.53620542461769,1
Qwen/Qwen3.5-4B,8,1,9,raw,0.13136263283169386,0.5088378128210018,0.06171989879226012,59.41355199635702,86.46146127135898,72.937506633858,1
Qwen/Qwen3.5-4B,8,1,9,label_residualized,0.1465561808364097,0.5354122341923445,0.08028761517184,57.62812756065966,85.39490194937869,71.51151475501918,1
Qwen/Qwen3.5-4B,8,2,3,raw,0.558036386320238,0.895103755695197,0.5611256892896895,26.478239999230052,55.86631754383769,41.17227877153387,2
Qwen/Qwen3.5-4B,8,2,3,label_residualized,0.6102764879960852,0.8966922275968318,0.6453650323341064,26.27337480208084,49.80695014181476,38.0401624719478,2
Qwen/Qwen3.5-4B,8,2,4,raw,0.6664222959392705,0.9222767365836859,0.6944423756044035,22.738771912881166,46.01720160627367,34.37798675957742,2
Qwen/Qwen3.5-4B,8,2,4,label_residualized,0.6737487985628432,0.929617864705338,0.6952037275118527,21.624674758806922,45.95654611767718,33.79061043824205,2
Qwen/Qwen3.5-4B,8,2,5,raw,0.320999200863096,0.7769702171817368,0.19574392286545417,39.01599768553508,78.71181523517437,58.86390646035473,1
Qwen/Qwen3.5-4B,8,2,5,label_residualized,0.3326015969508643,0.7821874615782066,0.23105403881250403,38.5387040455096,76.64086464812475,57.58978434681717,1
Qwen/Qwen3.5-4B,8,2,6,raw,0.0967371775318938,0.4330837568451728,0.07689482830892368,64.33657710701382,85.58989754871969,74.96323732786675,0
Qwen/Qwen3.5-4B,8,2,6,label_residualized,0.26045033435628306,0.7152930248511139,0.09621100411028827,44.33278124124167,84.4789754624387,64.40587835184019,1
Qwen/Qwen3.5-4B,8,2,7,raw,0.06845714207639676,0.360686147164491,0.08258200407127847,68.85765935601466,85.26300504616562,77.06033220109015,0
Qwen/Qwen3.5-4B,8,2,7,label_residualized,0.12923452245900943,0.4919071699826328,0.12843823822248596,60.533988416681794,82.62064660909554,71.57731751288867,0
Qwen/Qwen3.5-4B,8,2,8,raw,0.28404737985322603,0.746267263808057,0.10573519127938444,41.73193693507186,83.93047428245092,62.83120560876139,1
Qwen/Qwen3.5-4B,8,2,8,label_residualized,0.29349169987959517,0.7308837810484355,0.22976574670636382,43.039464211677526,76.71671932624712,59.87809176896232,1
Qwen/Qwen3.5-4B,8,2,9,raw,0.38964920694945254,0.810253774167328,0.3504100959540203,35.879266747870936,69.4875995395043,52.68343314368762,1
Qwen/Qwen3.5-4B,8,2,9,label_residualized,0.4132147778558031,0.8236895772406401,0.3846622363278489,34.544141425708005,67.37722691537077,50.96068417053939,1
Qwen/Qwen3.5-4B,8,3,4,raw,0.6497940214327184,0.9683157611750269,0.6016249907753708,14.461477953161745,53.01363209768633,33.73755502542404,2
Qwen/Qwen3.5-4B,8,3,4,label_residualized,0.6531973306845238,0.9667949410072895,0.6096738500311123,14.806379373495831,52.43407606635508,33.62022771992546,2
Qwen/Qwen3.5-4B,8,3,5,raw,0.2686191547827285,0.696831587031897,0.22729726984736287,45.8266486909485,76.86199723574812,61.34432296334831,1
Qwen/Qwen3.5-4B,8,3,5,label_residualized,0.2978504833850233,0.735649218654856,0.233497738452745,42.63789726649679,76.49691386714686,59.567405566821826,1
Qwen/Qwen3.5-4B,8,3,6,raw,0.0736959642828615,0.38389086952884,0.004441717923750034,67.42509866674317,89.74550747236901,78.58530306955609,0
Qwen/Qwen3.5-4B,8,3,6,label_residualized,0.16135523795674325,0.5679697239451418,0.0109940254304762,55.39123056615093,89.37007605286918,72.38065330951005,1
Qwen/Qwen3.5-4B,8,3,7,raw,0.07557025926054876,0.3639213824363121,0.13675432690317696,68.65878219437536,82.1399236314406,75.39935291290797,0
Qwen/Qwen3.5-4B,8,3,7,label_residualized,0.1737679270166628,0.54578224085887,0.22283985190354988,56.92186454398948,77.12411387509275,67.02298920954111,1
Qwen/Qwen3.5-4B,8,3,8,raw,0.3202946482175686,0.7567375014904273,0.2606485186475512,40.82257871727486,74.8914535831445,57.857016150209674,1
Qwen/Qwen3.5-4B,8,3,8,label_residualized,0.31410395005681835,0.722233146316212,0.32647692487497754,43.76083775577927,70.94492193210262,57.35287984394094,1
Qwen/Qwen3.5-4B,8,3,9,raw,0.3700901585873012,0.7390077897678786,0.44050857407886784,42.35303706283595,63.863665336775,53.108351199805476,1
Qwen/Qwen3.5-4B,8,3,9,label_residualized,0.40672240623839373,0.7728607289499936,0.46489902787989573,39.38852054643215,62.29631249641818,50.842416521425164,1
Qwen/Qwen3.5-4B,8,4,5,raw,0.37175732039940146,0.8436974945357666,0.17801454579014891,32.46734941360829,79.74586597889683,56.10660769625256,1
