conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
4,3,100,-0.0005159917875242392,0.4,-0.011632697258623587,0.38,-0.018573518875067488,0.39
4,4,100,-0.0007702296246063723,0.3,-0.012649077422071388,0.32,-0.04054745977194592,0.3
4,5,100,-0.0006213186090230394,0.27,-0.013118326100707093,0.27,-0.04118427808452265,0.28
4,6,100,-0.000626557860478486,0.33,-0.014006927262891553,0.33,-0.040946071017437496,0.33
4,7,100,-0.00197707129945352,0.2,-0.025988853764567988,0.2,-0.10594886333867069,0.19
4,8,100,-0.002027476558218826,0.17,-0.02510472343775397,0.16,-0.1019463760401437,0.18
4,9,100,-0.0018504156445842647,0.18,-0.024544103392646704,0.15,-0.10012460742142183,0.16
4,10,100,-0.0014897949538169885,0.21,-0.02205934691066371,0.2,-0.09307197482515757,0.22
4,11,100,-0.0034428850989900593,0.09,-0.024400182966380236,0.08,-0.19486568436533663,0.09
4,12,100,-0.003412269831945461,0.1,-0.022446205152770748,0.1,-0.19364127221619132,0.09
4,13,100,-0.0033416215814729144,0.15,-0.02176279520911711,0.12,-0.1846090087107499,0.14
4,14,100,-0.0027391356881250263,0.14,-0.02079205900190616,0.14,-0.16587108387923827,0.16
4,15,100,-0.004054668679654368,0.22,-0.019692319075302795,0.23,-0.20757613089078247,0.23
4,16,100,-0.003493749982784217,0.27,-0.01501489989273055,0.27,-0.19836720709026043,0.26
4,17,100,-0.003524683482408303,0.23,-0.012211477674854252,0.27,-0.22280038834031693,0.24
4,18,100,-0.0045549529301755695,0.23,-0.013065349549058717,0.25,-0.30659521701127024,0.24
4,19,100,0.0038704275138960477,0.25,0.01308834973789985,0.27,-0.2642810001697417,0.26
4,20,100,0.00642223483150302,0.24,0.024472071217238104,0.27,-0.2532340051409512,0.24
4,21,100,0.0069517133875201175,0.26,0.028887761124035537,0.3,-0.27518385231953196,0.27
4,22,100,0.0054470616937529436,0.25,0.04034683436063153,0.32,-0.2763717457109384,0.26
4,23,100,0.009492388385467182,0.27,0.036745359387779654,0.31,-0.3081937065820477,0.25
4,24,100,0.010138957395791102,0.25,0.038504936899769776,0.31,-0.3561228923130535,0.24
4,25,100,0.00784205593529116,0.25,0.037737157860305584,0.29,-0.44195711097383283,0.24
4,26,100,0.0028046857075725885,0.23,0.049012252399841374,0.29,-0.32130513673434186,0.25
4,27,100,0.008028860801171035,0.27,0.030277647839926453,0.3,-0.42075409370005895,0.27
4,28,100,0.007837259114758079,0.26,0.034874824469485005,0.3,-0.4514325497019657,0.26
4,29,100,0.011105098089144026,0.29,0.03955015126165694,0.3,-0.3814640191698851,0.28
4,30,100,0.010319467046061064,0.3,0.040024960289447735,0.32,-0.38613112329889737,0.3
4,31,100,0.016582991049216057,0.35,0.03821428863617205,0.35,-0.8151942925691772,0.34
5,0,100,-6.410249419798175e-06,0.45,-0.00823310114745705,0.45,-0.0006522377997909783,0.42
5,1,100,-3.7692436753793414e-05,0.41,-0.009967645673414035,0.43,-0.0026671387012839453,0.43
5,2,100,-9.916044752962927e-05,0.43,-0.011956379340304198,0.42,-0.004434511154297681,0.43
