fold,n_train,n_test,accuracy,balanced_accuracy,roc_auc,feature_group,classifier_model
2,625,157,0.643312101910828,0.6426948051948052,0.7222402597402597,all_geometry_with_delta,random_forest
3,626,156,0.6923076923076923,0.6914473684210527,0.7328947368421053,all_geometry_with_delta,random_forest
4,626,156,0.6602564102564102,0.6585526315789474,0.7447368421052631,all_geometry_with_delta,random_forest
5,626,156,0.6474358974358975,0.6471313496629952,0.7251356238698011,all_geometry_with_delta,random_forest
1,625,157,0.6942675159235668,0.6939123376623377,0.7410714285714286,all_geometry_with_delta,extra_trees
2,625,157,0.6942675159235668,0.6941558441558442,0.7293831168831169,all_geometry_with_delta,extra_trees
3,626,156,0.7051282051282052,0.7046052631578947,0.7508223684210527,all_geometry_with_delta,extra_trees
4,626,156,0.6666666666666666,0.6644736842105263,0.7355263157894737,all_geometry_with_delta,extra_trees
5,626,156,0.6538461538461539,0.6536248561565017,0.7307249712313004,all_geometry_with_delta,extra_trees
1,625,157,0.6305732484076433,0.6311688311688312,0.7185064935064934,all_geometry_with_delta,gradient_boosting
2,625,157,0.643312101910828,0.6426948051948052,0.7144480519480519,all_geometry_with_delta,gradient_boosting
3,626,156,0.5897435897435898,0.5894736842105264,0.7162828947368421,all_geometry_with_delta,gradient_boosting
4,626,156,0.6858974358974359,0.6842105263157895,0.738157894736842,all_geometry_with_delta,gradient_boosting
5,626,156,0.6282051282051282,0.6281440078908433,0.6595429886569126,all_geometry_with_delta,gradient_boosting
