model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,5,8,position_t,93,0.5931537598204265
Qwen/Qwen3.5-4B,5,8,log_offaxis_ratio,93,0.48540965207631875
Qwen/Qwen3.5-4B,5,8,offaxis_fraction,93,0.5252525252525253
Qwen/Qwen3.5-4B,5,9,position_t,69,0.5499999999999999
Qwen/Qwen3.5-4B,5,9,log_offaxis_ratio,69,0.31923076923076926
Qwen/Qwen3.5-4B,5,9,offaxis_fraction,69,0.47307692307692306
Qwen/Qwen3.5-4B,6,1,position_t,95,0.6128254580520732
Qwen/Qwen3.5-4B,6,1,log_offaxis_ratio,95,0.5371263259402121
Qwen/Qwen3.5-4B,6,1,offaxis_fraction,95,0.5631629701060753
Qwen/Qwen3.5-4B,6,2,position_t,89,0.6238095238095238
Qwen/Qwen3.5-4B,6,2,log_offaxis_ratio,89,0.4206349206349206
Qwen/Qwen3.5-4B,6,2,offaxis_fraction,89,0.40105820105820106
Qwen/Qwen3.5-4B,6,3,position_t,88,0.541490857946554
Qwen/Qwen3.5-4B,6,3,log_offaxis_ratio,88,0.6469760900140648
Qwen/Qwen3.5-4B,6,3,offaxis_fraction,88,0.5611814345991561
Qwen/Qwen3.5-4B,6,4,position_t,91,0.542319749216301
Qwen/Qwen3.5-4B,6,4,log_offaxis_ratio,91,0.5992685475444096
Qwen/Qwen3.5-4B,6,4,offaxis_fraction,91,0.5214211076280042
Qwen/Qwen3.5-4B,6,5,position_t,84,0.5260770975056689
Qwen/Qwen3.5-4B,6,5,log_offaxis_ratio,84,0.6179138321995464
Qwen/Qwen3.5-4B,6,5,offaxis_fraction,84,0.5391156462585034
Qwen/Qwen3.5-4B,6,6,position_t,93,0.6526315789473685
Qwen/Qwen3.5-4B,6,6,log_offaxis_ratio,93,0.5818181818181818
Qwen/Qwen3.5-4B,6,6,offaxis_fraction,93,0.5803827751196172
Qwen/Qwen3.5-4B,6,7,position_t,90,0.5287698412698413
Qwen/Qwen3.5-4B,6,7,log_offaxis_ratio,90,0.5421626984126984
Qwen/Qwen3.5-4B,6,7,offaxis_fraction,90,0.5158730158730159
Qwen/Qwen3.5-4B,6,8,position_t,93,0.5970819304152638
Qwen/Qwen3.5-4B,6,8,log_offaxis_ratio,93,0.48653198653198654
Qwen/Qwen3.5-4B,6,8,offaxis_fraction,93,0.5314253647586981
Qwen/Qwen3.5-4B,6,9,position_t,69,0.523076923076923
Qwen/Qwen3.5-4B,6,9,log_offaxis_ratio,69,0.32307692307692304
Qwen/Qwen3.5-4B,6,9,offaxis_fraction,69,0.4653846153846154
Qwen/Qwen3.5-4B,7,1,position_t,95,0.6084860173577626
Qwen/Qwen3.5-4B,7,1,log_offaxis_ratio,95,0.5612343297974928
Qwen/Qwen3.5-4B,7,1,offaxis_fraction,95,0.549662487945998
Qwen/Qwen3.5-4B,7,2,position_t,89,0.5714285714285715
Qwen/Qwen3.5-4B,7,2,log_offaxis_ratio,89,0.4042328042328043
Qwen/Qwen3.5-4B,7,2,offaxis_fraction,89,0.46455026455026455
Qwen/Qwen3.5-4B,7,3,position_t,88,0.5063291139240507
Qwen/Qwen3.5-4B,7,3,log_offaxis_ratio,88,0.6765119549929676
Qwen/Qwen3.5-4B,7,3,offaxis_fraction,88,0.5218002812939522
Qwen/Qwen3.5-4B,7,4,position_t,91,0.47596656217345873
Qwen/Qwen3.5-4B,7,4,log_offaxis_ratio,91,0.5621734587251829
Qwen/Qwen3.5-4B,7,4,offaxis_fraction,91,0.5094043887147335
Qwen/Qwen3.5-4B,7,5,position_t,84,0.6899092970521542
Qwen/Qwen3.5-4B,7,5,log_offaxis_ratio,84,0.5980725623582767
Qwen/Qwen3.5-4B,7,5,offaxis_fraction,84,0.6139455782312925
Qwen/Qwen3.5-4B,7,6,position_t,93,0.7014354066985646
Qwen/Qwen3.5-4B,7,6,log_offaxis_ratio,93,0.6545454545454545
Qwen/Qwen3.5-4B,7,6,offaxis_fraction,93,0.7028708133971292
Qwen/Qwen3.5-4B,7,7,position_t,90,0.4766865079365079
Qwen/Qwen3.5-4B,7,7,log_offaxis_ratio,90,0.5347222222222222
Qwen/Qwen3.5-4B,7,7,offaxis_fraction,90,0.5401785714285714
Qwen/Qwen3.5-4B,7,8,position_t,93,0.5729517396184063
Qwen/Qwen3.5-4B,7,8,log_offaxis_ratio,93,0.48035914702581367
Qwen/Qwen3.5-4B,7,8,offaxis_fraction,93,0.5650953984287318
Qwen/Qwen3.5-4B,7,9,position_t,69,0.46923076923076923
Qwen/Qwen3.5-4B,7,9,log_offaxis_ratio,69,0.24230769230769234
Qwen/Qwen3.5-4B,7,9,offaxis_fraction,69,0.3653846153846154
Qwen/Qwen3.5-4B,8,1,position_t,95,0.6099324975891995
Qwen/Qwen3.5-4B,8,1,log_offaxis_ratio,95,0.5761812921890067
Qwen/Qwen3.5-4B,8,1,offaxis_fraction,95,0.5544840887174541
Qwen/Qwen3.5-4B,8,2,position_t,89,0.5608465608465608
Qwen/Qwen3.5-4B,8,2,log_offaxis_ratio,89,0.40529100529100526
Qwen/Qwen3.5-4B,8,2,offaxis_fraction,89,0.44126984126984126
Qwen/Qwen3.5-4B,8,3,position_t,88,0.5091420534458508
Qwen/Qwen3.5-4B,8,3,log_offaxis_ratio,88,0.6666666666666666
Qwen/Qwen3.5-4B,8,3,offaxis_fraction,88,0.4796061884669479
Qwen/Qwen3.5-4B,8,4,position_t,91,0.47230929989550674
Qwen/Qwen3.5-4B,8,4,log_offaxis_ratio,91,0.5653082549634273
Qwen/Qwen3.5-4B,8,4,offaxis_fraction,91,0.5094043887147336
Qwen/Qwen3.5-4B,8,5,position_t,84,0.7222222222222222
Qwen/Qwen3.5-4B,8,5,log_offaxis_ratio,84,0.6037414965986395
Qwen/Qwen3.5-4B,8,5,offaxis_fraction,84,0.6366213151927438
Qwen/Qwen3.5-4B,8,6,position_t,93,0.7090909090909091
Qwen/Qwen3.5-4B,8,6,log_offaxis_ratio,93,0.6631578947368421
Qwen/Qwen3.5-4B,8,6,offaxis_fraction,93,0.7148325358851675
Qwen/Qwen3.5-4B,8,7,position_t,90,0.466765873015873
Qwen/Qwen3.5-4B,8,7,log_offaxis_ratio,90,0.5416666666666666
Qwen/Qwen3.5-4B,8,7,offaxis_fraction,90,0.5694444444444444
Qwen/Qwen3.5-4B,8,8,position_t,93,0.5572390572390573
Qwen/Qwen3.5-4B,8,8,log_offaxis_ratio,93,0.46689113355780026
Qwen/Qwen3.5-4B,8,8,offaxis_fraction,93,0.5667789001122334
Qwen/Qwen3.5-4B,8,9,position_t,69,0.4653846153846154
Qwen/Qwen3.5-4B,8,9,log_offaxis_ratio,69,0.2423076923076923
Qwen/Qwen3.5-4B,8,9,offaxis_fraction,69,0.3807692307692308
Qwen/Qwen3.5-4B,9,1,position_t,95,0.6060752169720347
Qwen/Qwen3.5-4B,9,1,log_offaxis_ratio,95,0.5718418514946962
Qwen/Qwen3.5-4B,9,1,offaxis_fraction,95,0.5583413693346191
Qwen/Qwen3.5-4B,9,2,position_t,89,0.5338624338624339
Qwen/Qwen3.5-4B,9,2,log_offaxis_ratio,89,0.39576719576719577
Qwen/Qwen3.5-4B,9,2,offaxis_fraction,89,0.4216931216931217
Qwen/Qwen3.5-4B,9,3,position_t,88,0.49226441631504925
Qwen/Qwen3.5-4B,9,3,log_offaxis_ratio,88,0.7088607594936709
Qwen/Qwen3.5-4B,9,3,offaxis_fraction,88,0.4542897327707454
Qwen/Qwen3.5-4B,9,4,position_t,91,0.4639498432601881
Qwen/Qwen3.5-4B,9,4,log_offaxis_ratio,91,0.5616509926854755
Qwen/Qwen3.5-4B,9,4,offaxis_fraction,91,0.5114942528735633
Qwen/Qwen3.5-4B,9,5,position_t,84,0.7222222222222222
Qwen/Qwen3.5-4B,9,5,log_offaxis_ratio,84,0.6235827664399093
Qwen/Qwen3.5-4B,9,5,offaxis_fraction,84,0.6383219954648526
Qwen/Qwen3.5-4B,9,6,position_t,93,0.7177033492822966
Qwen/Qwen3.5-4B,9,6,log_offaxis_ratio,93,0.6822966507177034
Qwen/Qwen3.5-4B,9,6,offaxis_fraction,93,0.7258373205741627
